User,Comment Date,Comment
Sara,۱۴۰۰-۰۵-۲۴,من این محصول رو چند ماه پیش خریدم. متاسفانه توی مشخصات محصول به عنوان آبرسان انواع پوست معرفی شده در صورتی که به نظرم مناسب پوست خشک هست. من پوست مختلط دارم بعد از دو ماه استفاده دچار جوشهای زیرپوستی شدم. سر محصول هم موقع استفاده مایع رو به اطراف میپاشه و اصلا خوب طراحی نشده.
الناز حسینی,۱۴۰۰-۰۵-۲۴,خيلي محصول خوبيه بعد از چند مصرف عاشقش ميشي خيلي هم سبكه
Kimiya Rpn,۱۴۰۰-۰۵-۲۴,رطوبت خوبی به پوست میده اما باید تمدید بشه اگه پوستتون خیلی چربه من کلا بافتش و زود جذب بودنش رو دوست دارم
ناهيد ياوري,۱۴۰۰-۰۵-۲۴,من اين سرم را خيلي وقته توي روتين پوستم قراردادم.بنظرم ميتونه بابرندهاي خارجي رقابت كنه.آبرساني خوبي داره باعث شفاف شدن پوست ميشه وخطوط ريز را كلا ازبين ميبره؛كاملا پوست آبرساني ميشه وسرحال .
فاطمه فرجي,۱۴۰۰-۰۵-۲۴,برای مادرم خریدم خیلی راضیه،در حد کرم های خارجیه واقعا
سمیه بشیری,۱۴۰۰-۰۵-۲۳,برای پوستهای چرب بی نظیره.با استفاده کردن ظرف یه هفته اثراتش رو میبینید. من خیلی راضی ام. بی نظیره.
محدثه همتی,۱۴۰۰-۰۵-۱۴,من این سرم رو شش ماه پیش خریدم ولی اصلا راضی نیستم.روی پوستم خطهای ریزی افتاده ودوماه ک استفاده کردم بیشتر پوستم رو دچار افتادگی و باعث چروک های سطحی شد و جوش هم زد شدید. پمپش هم ک بیشتر مایع پخش میشه و همه جا میریزه غیر روی پوست. بیشتر فک میکنم بدرد پوسترهای خشک و حساس میخوره. فقط عطرش خیلی خوبه.
ویدا مدیری,۱۴۰۰-۰۴-۱۶,واقعا خوبه .ارزش خریدش خیلی بالاس.هروقت استفاده میکنم همون موقع تاثیرش مشخصه و حتی بقیه هم تفاوت پوستمو قبل و بعد از زدنش متوجه میشن
زینب جهانگیرثانی,۱۴۰۰-۰۴-۰۳,خوب یه مقدار افشانه درست کار نمیکنه و حالت چسبندگی داره
dilan dadvand,۱۴۰۰-۰۴-۰۱,از آین سرم برای صورت وگردن استفاده میشه یکسالی هست استفاده میکنم و راضی هستم بافتش خوبه پیشنهاد میکنم دوستان چند باری خواستم عکس محصول بذارم سایت نشد
پریسا کیماسی,۱۴۰۰-۰۳-۲۵,این سرم آبرسان خوبیه و پوست رو شفاف میکنه اما پمپش اصلا خوب نیست و موقع پمپ کردن به همه جا پرتاب میشه ،یک مقدار کمی ازش برای کل صورت کافیه من دوسش داشتم در ضمن پوست من خشکه
لیلا بنی اسدی,۱۴۰۰-۰۳-۲۴,وای نمیدونید این محصول چ معجزه ای میکنم همیشه وقتی کرمپودر یا ضد افتاب کرم پودری میزدم روی پوستم پر خطهای ریز میشد از بس پوستم خشک بود از طرفی هم منافذ پوستم خ زشت مشخص میشد بعد استفاده این محصول دیگه هیچ کدوم از این مشکلات رو ندارم خداروشکر ک احساس جوانی میکنم
شادی رضایی,۱۴۰۰-۰۳-۰۸,پوست من چربه و بعد از یک ماه استفاده از این محصول متاسفانه صورتم جوش های زیادی زد.
الما شاه پرست,۱۴۰۰-۰۲-۲۲,واقعاااا سرم خوبیه خیلی پوست رو شفاف و شاداب میکنه با هر بار استفاده متوجه میشین که پوستتون هر روز حالش بهتر میشه چین و چروک رو کم میکنه بخوبی آبرسانی میکنه فقط اینکه اگر خوب ماساژ ندین روی پوستتون یه حالت چسبناکی داره که اذیت کننده نیست کلا محصولات این برند عالین
مبینا رستمی,۱۴۰۰-۰۱-۲۴,امروز به دستم رسید و هنوز استفاده نکردم ولی سایزش نسبت به ذهنتیم خیلی کوچیک تر بود و با توجه ب قیمتش نسبت محصولات دیگه تمدیدش نمیکنم چون حجم کمی توش وجود داره اما در کل محصولات این مارک قابل قبولن
زهرا رسانه,۱۴۰۰-۰۱-۱۴,خیلی خوبه . ولی وقتی میزنم چسبندگی داره بعدش صورتم. درواقع بعدش حتما باید مثلا ضدآفتاب یا مرطوب کننده یا ی چیزی استفاده کنی ک از حالت چسبندگی بیرون بیاد
فائزه زینی,۱۴۰۰-۰۱-۱۰,خیلی ازش راضیم غلظت بالایی داره وقتی میزنی به پوستت احساس تازگی میکنی واقعا حس میکنی پوستت داره آبرسانی میشه من آبرسان کامان رو هم گرفتم و این بایو اصلا قابل مقایسه با کامان نیست البته خوب اختلاف قیمت بالایی هم دارن با هم در کل به شدت توصیه میکنم واقعا آبرسانه
سمیه بشیری,۱۳۹۹-۱۱-۱۰,واقعا عالیه رایحه ملایم و خوب بسیار موثر در آب رسانی نرم کننده پوست برای پوستهای چرب و مستعد جوش فوق العاده است هیدراته کردن و از بین برنده خشکی پوست فقط چون رقیقه پمپاژش خیلی بده و در زمان اسپری کردن خیلی به اطراف پاشیده میشه در کل توصیه میکنم و اثرش در کوتاه مدت هم معلوم میشه
حدیث محسنی,۱۳۹۹-۱۰-۳۰,من پوستم مختلط و دهیدراته ست این محصول برای من خوب بود و راضی بودم. و باهاش جوش نزدم ولی بعد از استفاده یکم چسبناکه که وقتی روش کرم میزنم از بین میره و خوبه
زهرا یوسفى,۱۳۹۹-۱۰-۱۲,محصول خوبيه، بعد از سرم حتما از كرم مرطوب كننده استفاده شود.
سامره گرجی,۱۳۹۹-۰۹-۱۹,من پوستم خشک و لحظه اول که استفاده می‌کنید یه خورده حالت چسبناکی داره اما بعد چند ثانیه از بین میره و ب سرعت جذب پوست میشه واقعا عالیه و خشکی پوستم رو تا حد زیادی از بین برده چون سرم های زیادی از برند های مختلف تا الان استفاده کردم اما این بار سوم این ابرسان رو شارژ می‌کنم . از معایبش در حال حاضر بالا رفتن قیمتش و اون حالت فوق آبکیش موقع پمپ کردنشه
مریم قهرمانی,۱۳۹۹-۰۹-۱۸,خیلی سرم خوبیه من پوستم خشکه واصلا حالت چسبناک نداشت وبعدازاستفاده واقعا حس خوبی به پوستم دارم..آبرسانیش عالیه وخوب پوست رو تغذیه میکنه من حتما تمدیدش میکنم
Shamim Sherafati,۱۳۹۹-۰۹-۱۸,من اکثر محصولات این برند رو دارم، از این سرمش هم راضی بودم، به دلیل اینکه از جلبک دریایی درست شده بوی خوبی هم داره بوی عطری نداره که اذیت کنه تنها بدیش اینه که بعد اینکه به صورت میزنم چسبناک میشه ولی اگر تا ۵ دقیقه بعد که جذب شد کرم رطوبت رسان بزنیم رفع میشه برای بعد حمام و شب ها که رطوبت پوست کم‌میشه خیلی خوبه
Shamim Sherafati,۱۳۹۹-۰۹-۱۸,من اکثر محصولات این برند رو دارم و سرمش رو هم راضی بودم، به دلیل اینکه موادش از جلبک دریایی بوی خوبی داره، عطری نیست که اذیت کنه ولی حس خوبی میده تنها بدیش اینه که وقتی میزنی یکم صورت چسبناک میشه که خوب تا ۵ دقیقه بعدش که جذب شد کرم رطوبت رسان رو بزنیم برطرف میشه شب ها ،بعد حمان حتی که رطوبت پوست از دست میره خیلی خوبه استفاده ازش
عطیه واعظی,۱۳۹۹-۰۹-۱۷,با توجه به قیمتش در مقایسه با برندهای خارجی بنظرم خوب بوده،اولش یکم حس چسبناک داره ولی یکم بعدش خوب میشه،غلظتش هم طوریه که بلافاصله که میزنی راحت جذب میشه
زهرا بابازاده,۱۳۹۹-۰۹-۱۷,من بارها از این برند خریداری کردم و این سرم هم جزوشه و عالیه . حس خوبی داره و خیلی خوب جذب پوستم میشه و خوشحالم که با محصولات بایو مارین آشنا شدم
مهرنوش شریفی,۱۳۹۹-۰۹-۱۶,پوست صورت من خیلی خیلی بدون آب بود و توی سه ماهی که استفاده کردم تغییر رو روی پوستم احساس کردم. اولش که روی پوست میزنم کمی پوست و چسبناک میکنه اما چیزی نیست که طولانی بمونه در کل بسیار از این محصول راضی هستم. بوی خوبی هم داره
مهدیه بصیری,۱۳۹۹-۰۹-۱۶,سرم خیلی خوبیه، قدرت جذب بالا، بوی خوب، آبرسانی قوی کلا بعد از زدن این آبرسان حس خوبی خواهید داشت
شادي منشي,۱۳۹۹-۰۹-۱۶,سلام ، من اين ابرسانو به پيشنهاد دكترم استفاده كردم الان دومين باره كه خريدمش براي پوست من خوب بود ، پوستمو شفاف و نرم كرده
سارا طالبی پور,۱۳۹۹-۰۹-۱۶,قبل از نظر در مورد کرم از روژا شاپ بابت بسته بندی خوبشون و ارسال به موقع محصول تشکر کنم این سرم رو مادرم استفاده کردن و راضی بودند فقط حالت چسبندگی روی پوست ایجاد میکند
رعنا فروتن,۱۳۹۹-۰۹-۱۶,این سرم‌واقعا عالیه من دو ماهه دارم استفاده میکنم و‌فوق العاده آبرسان خوبیه و کاملا راضیم
Somayeh Chehreh,۱۳۹۹-۰۹-۱۶,داشتن محصولات بایو مارین خیالمو راحت کرده بخدا اف زده بودین گفتم از دستش نمیدم ریز و درشتشو گرفتم ابرسانش واقعا بعد جذب ادم حس میکنه یه لایه رو پوستش مثل ابریشم کشیده شده
Fateme Jokar,۱۳۹۹-۰۹-۱۶,به پوست لطافت و نرمی میده واقعا و سریع جذب پوست میشه و خیلی سبک هست روی پوست و پوستتون رو مخملی میکنه من خیلی راضی بودم ازش
zahra attaran,۱۳۹۹-۰۹-۱۶,ابرسان قوي زود جذب ميشه و باعث جوش نميشه فقط درش ي خورده مشكل داره شايد براي من خراب شده
سیم اسدزاده,۱۳۹۹-۰۹-۱۶,من که بسیار راصی بودم پوستم خشکه
Raz Jfr,۱۳۹۹-۰۹-۱۶,من در یک نوبت که برای مراقبت فیشیال رفته بودم آخرین مرحله از این محصول برای من استفاده کردن و اونجا با این سرم آشنا شدم و بعدا خریدم جذب مناسبی داره و سبک است ولی من خودم‌کلا با محصول پمپی موافق نیستم
dilan dadvand,۱۳۹۹-۰۹-۱۶,محصولات بایو مارین و خیلی دوس دارم کیفیت بالا و حس خوب رو به پوست ام میدن سرم ضد چروک بایو مارین عالی
نیوشا بهمنش راد,۱۳۹۹-۰۹-۱۶,الان دو باره که این محصول رو سفارش می دم هم برا خودم و هم برای مادرم، که پوستمون خیلی دهیدراته است. روی پوست چسبناک نیست و راحت جذب میشه و خوب رطوبت رسانی میکنه به نسبت قیمتش. فقط با پمپش مشکل دارم که می پاشه !
مهرسا خورشیدی,۱۳۹۹-۰۹-۱۶,پیشنهادش میکنم❤️❤️
زهرا بدیعی,۱۳۹۹-۰۸-۰۸,سلام من همه محصولات بایومارین رو تهیه کردم .. بعد استفاده از این سرم پوستم تیره تر میشه به طوری که اطرافیانمم متوجه میشن
نیوشا صمیم پور,۱۳۹۹-۰۷-۰۲,این محصول برخلاف نظر بعضی از کاربران که نوشته بودند درب پلاستیکیش خرابه یا صورت رو چسبناک میکنه .برای من اصلا اینطور نبود و کاملا محسوس هست تغییر پوست حتی یک روز بعد از استفاده از این محصول. دو تا سه دقیقه پس از استفاده کاملا جذب پوست میشه و حس سبکی روی پوست احساس میشه.
عاطفه پيله وري,۱۳۹۹-۰۶-۲۷,بسيار سبك و زود جذب بر روي پوست حالت خيس و چسبناك ايجاد نمي كند و بسيار زود جذب مي شود و پوست را لطيف و درخشان مي كند و من همزمان با اين محصول از فلوئيد رطوبت رسان بايو مارين استفاده مي كنم و احساس مي كنم نتيجه بهتري براي پوستم گرفتم
ندا حیدری,۱۳۹۹-۰۶-۲۶,من پوستم چرب و مختلط جوشه، واقعا فوق العاده ست این سرم! خیلی خوب ابرسانی میکنه و سبکه عاشقشم
زهرا احمدزاده,۱۳۹۹-۰۶-۰۳,سلام. من پوست چربی دارم و این محصولو نزدیک یک هفتس ک دارم استفاده میکنم ولی اصلا ازش راضی نیستم رو پوستم حالت بشدت چسبناکی داره و هر دفه دوس دارم زود برم بشورمش طراحی پمپش واقعا بده و بسختی میشه ازش استفاده کرد با توجه به قیمت بالایی ک داشت بشدت ناراضیم و دیگه شارژش نمیکنم👎
مستوره دارابی,۱۳۹۹-۰۵-۳۰,من از این محصول استفاده کردم . خیلی چسبناکه و وقتی به پوستم میزنم احساس خارش و سوزش بهم دست میده و بعد از حدود نیم ساعت پوستم رو چرب میکنه . با اینکه من پوستم نرماله!!! وقتی میزنمش فقط دوست دارم زودتر برم پوستمو بشورم. واقعا خوب نیست
Shahrzad Ahmadi,۱۳۹۹-۰۵-۱۴,ابرسانیش خوبه حس خوبی به پوست میده ولی طراحی پمپش خیلی بده کلی ازش هدر میره موقع استفاده کردن
احمدی,۱۳۹۹-۰۵-۱۳,بسیار عالیه از خریدش خیلی راضیم برای پوست من که مختلطه باعث جوش نشد و آبرسانیش هم خوبه
منیره تقوی,۱۳۹۹-۰۵-۱۰,خیلی سبک و عالیه راحت هم جذب میشه و بعد از زدن حس خوبی به پوست میده . من چند وقتی هست استفاده میکنم و اصلا بعد از زدن این آبرسان احساس خشکی پوست ندارم و حتی پوست من روشن کرده ممنونم
نرگس حسنی,۱۳۹۹-۰۵-۰۸,خیلی آبرسان خوبیه این محصولتون، من پک کامل بایو مارین گرفتم ازتون واقعا راضی هستم
B S,۱۳۹۹-۰۵-۰۶,در ادامه ی نظر قبل خواستم بگم که استفاده از این محصول به دلیل پمپ خیلی بدش خیلی سخته و هر دفعه کلیش هدر میره و به اطراف می پاشه و این تنها بدی این محصول هست که امیدوارم در تولید محصولات بعدیشون این مشکل رو اصلاح کنند
B S,۱۳۹۹-۰۵-۰۶,من اینو با مرطوب کنندش خریدم یک پوست رو چسبناک میکنه حتی اگه کم هم استفاده کنین، مکمل خوبی برای کرم مرطوب کننده ی پوست خشکشه ولی خیلی کار زیادی انجام نمیده رو پوست
بهناز آزادی,۱۴۰۰-۰۹-۲۰,من یه دوره استفاده کردم خیلی خیلی خوب و موثر بود. پوستم قشنگ آبرسانی شد. من پوستم چرب هست ولی خیلی دهیدراته بود. این کرم آبرسانی خیلی قوی ای داشت برای پوست من. اصلا باعث جوش نشد. من روی بو خیلی حساس هستم. کرم معطری هست ولی بوی خیلی ملایم و خوبی داره و اصلا بوی صابون نمیده. بعد از مصرف یه حالت چسبناک روی پوست داره که طی ۱ ۲ دقیقه وقتی خشک بشه از بین میره
سمیرا فروتن کیا,۱۴۰۰-۰۹-۱۹,سلام من چند هفته اس از این سرم استفاده می‌کنم تاثیر گذاریش عالیه خیلی سبکه و خیلی سریع جذب پوست میشه اصلا جوش نزدم و تنها ایرادش پمپشه
ایزدی ایزدی,۱۴۰۰-۰۹-۱۸,آبرسان فوق العاده قوی است و پوست را احیا میکنه و در هفته های اول عملکرد خودش رو به خوبی نشون میده
ترانه حسینی,۱۴۰۰-۰۹-۱۶,آبرسان مناسبی برای پوست های خشک و دهیدراته است ولی حجمش کم است
شیما خرسند,۱۴۰۰-۰۹-۱۴,من حدودا ۲ ماه که ازین محصول استفاده میکنم پمپش یکم حساسه باید مواظب باشین زود خراب نشه بعد از استفاده هم یکم چسبناک میشه صورت کاش اینجوری نبود
سها خدادادی,۱۴۰۰-۰۸-۰۳,خيلي عاليه من هشت ماهي ميشه استفاده ميكنم پوستمو خيلي بهتر از قبل كرده اصلا باعث جوش نشد خيلي خوب جذب ميشه خيلي راضيم ازش من صورتمم باهاش ماساژ ميدم باعث شد گونه هام خيلي برجسته تر از قبل بشه
آتنا شاه حسینی,۱۴۰۰-۰۷-۱۵,واقعا سرم خوبی بود. هر دوبارشو از روژا گرفتم. بار اول از روی نظرات انتخابش کردم. ترکیب تونیک و این سرم ابرسان و کرم ضد چروک +۲۵ به نظرم روتین مناسبی برای شروع بود
شیما رحمان پور,۱۴۰۰-۰۶-۲۳,محصول خوبی بود. اما پمپش مشکل داشت و باید با احتیاط فشار میدادی
بهاره آمره,۱۴۰۰-۰۵-۳۱,عالیه این محصول سریع جذب صورت میشه و خاصیت چسبندگی کمی داره ... که کاملا طبیعی هستش من خیلی راضی هستم ازش
حسین خدایاری,۱۴۰۰-۰۵-۲۹,بسیار سبک و عالی.زود جذب پوست میشه چسبنده نیست من راضی بودم
گلنوش صارمی,۱۴۰۰-۰۵-۲۴,پوستم به شدت کم اب شده بود و دکتر بهم گفت که حتما از یه ابرسان استفاده کنم،این ابرسان رو‌تهیه کردم از نظر ابرسانی خوب عمل میکنه و خشکیهای سطحی رو از بین میبره،تنها چیزی که یکم توی این محصول اذیت کننده است حالت چسبناکیش هست که تا نیم ساعت تقریبا روی پوست میمونه و اگر لوازم ارایش بخواید بعدش استفاده کنید باید صبر کنید تا کامل جذب پوست بشه
ساناز ارجمند,۱۴۰۰-۰۵-۲۴,حدود دوماهه که ازش استفاده میکنم..پوستم نرماله.اصلا باعث جوش برام نشده و پوستمو خوب آبرسانی کرده،قبلش صورت یه کم مرطوب باشه که میشه ازاسپری آب استفاده کرد و بعدشم کرم شب یا مرطوب کننده بزنین
ژاله مطلوب طلب,۱۴۰۰-۰۵-۲۴,من پوست مختلط و حساسی دارم این آبرسان بسیار سبک هست و کیفیتش خوبه برای من که از لایه بردار دارم استفاده میکنم خوب بود تنها مشکلش پمپش هست که باید روی دستت بگیری به جایی پرتاب نشه کمی چسبندگی داره
هلیا کریم زاده,۱۴۰۰-۰۵-۲۴,به شدت ازین محصول راضی هستم ، پوست به شدت دهیدراته ای داشتم اما بعد از استفاده ازین آب رسان خیلی پوستم شاداب تر شده و دیگه احساس خشکی و کشیدگی نمی کنم
گلناز حسن آبادی,۱۴۰۰-۰۵-۲۴,همیشه وقتی کرمپودر یا ضد افتاب کرم پودری میزدم روی پوستم پر خطهای ریز میشد از بس پوستم خشک بود از طرفی هم منافذ پوستم خ زشت مشخص میشد بعد استفاده این محصول دیگه هیچ کدوم از این مشکلات رو ندارم خداروشکر ک احساس جوانی میکنم
بهناز باشباغی,۱۴۰۰-۰۵-۲۴,خوب من استفاده کردم راضی هستم
سودابه هاشمی,۱۴۰۰-۰۵-۲۴,با سلام من در طول سال گذشته تا الان سه بار این محصول را به همراه کرم ضد چروک بایومارین خریده ام .و برای اولین بار از یک محصول ایرانی کاملا لذت بردم .چون این سرم کاملا جذب پوستم می شود و حس خوبی می دهد .البته برای تاثیر بهتر دو دقیقه بعد از این سرم کرم ضد چروک را روی آن میزنم .در کل از کیفیت و بسته بندی و بوی محصول و تاثیر گذاری آن بسیار راضی هستم.
Sara,۱۴۰۰-۰۵-۲۴,من این محصول رو چند ماه پیش خریدم. متاسفانه توی مشخصات محصول به عنوان آبرسان انواع پوست معرفی شده در صورتی که به نظرم مناسب پوست خشک هست. من پوست مختلط دارم بعد از دو ماه استفاده دچار جوشهای زیرپوستی شدم. سر محصول هم موقع استفاده مایع رو به اطراف میپاشه و اصلا خوب طراحی نشده.
الناز حسینی,۱۴۰۰-۰۵-۲۴,خيلي محصول خوبيه بعد از چند مصرف عاشقش ميشي خيلي هم سبكه
Kimiya Rpn,۱۴۰۰-۰۵-۲۴,رطوبت خوبی به پوست میده اما باید تمدید بشه اگه پوستتون خیلی چربه من کلا بافتش و زود جذب بودنش رو دوست دارم
ناهيد ياوري,۱۴۰۰-۰۵-۲۴,من اين سرم را خيلي وقته توي روتين پوستم قراردادم.بنظرم ميتونه بابرندهاي خارجي رقابت كنه.آبرساني خوبي داره باعث شفاف شدن پوست ميشه وخطوط ريز را كلا ازبين ميبره؛كاملا پوست آبرساني ميشه وسرحال .
فاطمه فرجي,۱۴۰۰-۰۵-۲۴,برای مادرم خریدم خیلی راضیه،در حد کرم های خارجیه واقعا
سمیه بشیری,۱۴۰۰-۰۵-۲۳,برای پوستهای چرب بی نظیره.با استفاده کردن ظرف یه هفته اثراتش رو میبینید. من خیلی راضی ام. بی نظیره.
محدثه همتی,۱۴۰۰-۰۵-۱۴,من این سرم رو شش ماه پیش خریدم ولی اصلا راضی نیستم.روی پوستم خطهای ریزی افتاده ودوماه ک استفاده کردم بیشتر پوستم رو دچار افتادگی و باعث چروک های سطحی شد و جوش هم زد شدید. پمپش هم ک بیشتر مایع پخش میشه و همه جا میریزه غیر روی پوست. بیشتر فک میکنم بدرد پوسترهای خشک و حساس میخوره. فقط عطرش خیلی خوبه.
ویدا مدیری,۱۴۰۰-۰۴-۱۶,واقعا خوبه .ارزش خریدش خیلی بالاس.هروقت استفاده میکنم همون موقع تاثیرش مشخصه و حتی بقیه هم تفاوت پوستمو قبل و بعد از زدنش متوجه میشن
زینب جهانگیرثانی,۱۴۰۰-۰۴-۰۳,خوب یه مقدار افشانه درست کار نمیکنه و حالت چسبندگی داره
dilan dadvand,۱۴۰۰-۰۴-۰۱,از آین سرم برای صورت وگردن استفاده میشه یکسالی هست استفاده میکنم و راضی هستم بافتش خوبه پیشنهاد میکنم دوستان چند باری خواستم عکس محصول بذارم سایت نشد
پریسا کیماسی,۱۴۰۰-۰۳-۲۵,این سرم آبرسان خوبیه و پوست رو شفاف میکنه اما پمپش اصلا خوب نیست و موقع پمپ کردن به همه جا پرتاب میشه ،یک مقدار کمی ازش برای کل صورت کافیه من دوسش داشتم در ضمن پوست من خشکه
لیلا بنی اسدی,۱۴۰۰-۰۳-۲۴,وای نمیدونید این محصول چ معجزه ای میکنم همیشه وقتی کرمپودر یا ضد افتاب کرم پودری میزدم روی پوستم پر خطهای ریز میشد از بس پوستم خشک بود از طرفی هم منافذ پوستم خ زشت مشخص میشد بعد استفاده این محصول دیگه هیچ کدوم از این مشکلات رو ندارم خداروشکر ک احساس جوانی میکنم
شادی رضایی,۱۴۰۰-۰۳-۰۸,پوست من چربه و بعد از یک ماه استفاده از این محصول متاسفانه صورتم جوش های زیادی زد.
الما شاه پرست,۱۴۰۰-۰۲-۲۲,واقعاااا سرم خوبیه خیلی پوست رو شفاف و شاداب میکنه با هر بار استفاده متوجه میشین که پوستتون هر روز حالش بهتر میشه چین و چروک رو کم میکنه بخوبی آبرسانی میکنه فقط اینکه اگر خوب ماساژ ندین روی پوستتون یه حالت چسبناکی داره که اذیت کننده نیست کلا محصولات این برند عالین
مبینا رستمی,۱۴۰۰-۰۱-۲۴,امروز به دستم رسید و هنوز استفاده نکردم ولی سایزش نسبت به ذهنتیم خیلی کوچیک تر بود و با توجه ب قیمتش نسبت محصولات دیگه تمدیدش نمیکنم چون حجم کمی توش وجود داره اما در کل محصولات این مارک قابل قبولن
زهرا رسانه,۱۴۰۰-۰۱-۱۴,خیلی خوبه . ولی وقتی میزنم چسبندگی داره بعدش صورتم. درواقع بعدش حتما باید مثلا ضدآفتاب یا مرطوب کننده یا ی چیزی استفاده کنی ک از حالت چسبندگی بیرون بیاد
فائزه زینی,۱۴۰۰-۰۱-۱۰,خیلی ازش راضیم غلظت بالایی داره وقتی میزنی به پوستت احساس تازگی میکنی واقعا حس میکنی پوستت داره آبرسانی میشه من آبرسان کامان رو هم گرفتم و این بایو اصلا قابل مقایسه با کامان نیست البته خوب اختلاف قیمت بالایی هم دارن با هم در کل به شدت توصیه میکنم واقعا آبرسانه
