User,Comment Date,Comment
dorn9503,"November 12, 2015","With this pen's fine line I was able to fit easily 5 lines of text in a standard
rule line of a notebook.  It took little time to dry on a 'semi gloss' type
workbook paper, to avoid smudges.  I fully enjoyed using this pen and it has
made the short list of the 10 different pens that I am testing."
casan.you,"October 30, 2015","I was upset because I selected the wrong pen at checkout apparently but this one
is amazing. I am a pilot hi-tec fan but this is officially my favorite pen right
now."
Hank Sinatra,"October 9, 2015","Perfect for annotating charts.I need to make notes on sheet music, and the Signo UM-151 has a nice fine line
and a variety of colors.The 0.38 is a little thin for reading at a distance. The 0.50 mm is the best
balance between a fine line and legibility"
jhan544792,"September 9, 2015","I've used about 10 pens in four years. Ink writes great, smooth rolling and good
weight and grip. Only gripe about it is that about 4 of those pens dried up when I had about a
fourth of ink left, and no matter what I did it did not alleviate the symptom.
Could be because they were in the 10 pack box that I got, but I find it hard to
believe that this dried up whereas my Zebra Sarasa never has even if it's in
storage for 6+ months."
NewDayCC,"August 8, 2015","All of the 0.38 Uni-ball Signo pens are wonderful. Not too fine - not too bold -
absolutely perfect."
eugenebl,"June 27, 2009","I might be in love. I bought this pen as well as the Pilot G-2 Gel Ink Pen (also 0.38mm). The Pilot
is okay. This one is much better. For my purposes (illustration), it is perfect.
Not only does it give a great line, but there are NO SURPRISES. It doesn't stop
making a line if you tilt it to the side a bit, only to suddenly give a big
thick one when you press a little harder. If you tilt this pen sideways, it
still always gives a great line, but a thinner one. So you can use it both for
light pen-sketching and for thick, unwavering lines. There really have been no downsides. This is professional-quality."
laura.9653,"December 29, 2022","I loved this pen! It was great because I didn't see ink blobs when I began
writing, maybe after a while I would see one or two but then I dropped it. It
hasn't been the same ever since. Don't drop it!"
mayer,"December 26, 2022",Very smooth writing pen. 
harmonyh,"December 7, 2022",A great gel pen if you want something very fine. 
aimeeryan,"November 15, 2022","I buy all the time, a favorite of all time pen!"
withadventure,"September 22, 2022","I really do like these pens, but I find that they skip often and that gets
really annoying. Even the slightest bit of anything on the tip will make it
impossible to write with this thing. I got these to make annotations in my textbooks and in the margins of my
research papers, but even on regular paper it picks up small fibers and starts
skipping. If you want to be patient and keep wiping your pen off then these are great, but
they didn't do well for what I wanted. "
pendragonpost,"September 5, 2022",Wonderful pen and writes like a gel pen very smoothly :)
Ma Elena,"August 20, 2022","My favorite pen for writing in small spaces - the ink flows smoothly, and the
lines are sharp. This and the Uni-ball Signo Broad Gel Pen are staples in my pen
bag. "
Raven,"August 4, 2022",Dark dark black and smooth ink. Great pen. 
Jhael,"August 2, 2022",Good pen but not my favorite the smear is noticeable but it very bright 
mimharpist,"August 1, 2022",A favorite pen of mine for writing letters.  Recommended for lefties.
sybes1,"July 18, 2022",These pens are the greatest. Lovely line and so easy to write with--very smooth
adrianah1995,"June 30, 2022",My go-to pen. I love her. Highly recommend!
Seth B,"June 14, 2022","Personal preference, the 0.38 is too small for me, as well as the grip is SUPER
uncomfortable. Not enough weight to feel good in the hand."
goldensohn,"June 7, 2022","An excellent pen.  I order a half dozen every year or so. It has replaced the
Pilot Tec C4 on my desk."
kpohka,"May 20, 2022","Fabulous writing pen. The ink transfers to the paper smoothly and effortlessly. 
A pleasure to use.  "
alanp1950,"May 13, 2022","Excellent, as expected"
mrmcneil45,"April 14, 2022",it's good 
mjp854,"April 11, 2022","Love this extra fine pen! Very smooth and great for small detailing in
lettering."
cclayton888,"April 4, 2022",Very pleased with these. Smooth writing and nice and fine.  
mrader3,"April 3, 2022","I ordered four different colors, and most of them write pretty well. But some of
them (not many) won't write well at all. It's like no gel is coming out. That's
a little frustrating. Overall, I really like these pens. Black writes the best."
Mrfreeze_1,"March 21, 2022","I have very small handwriting and these pens are perfect. They write smoothly,
legibly, and don't smear."
jroberson5150,"March 21, 2022",Orgasmic
maura.krause,"February 23, 2022","Reliable, writes smoothly, great fine lines"
pollock.ml,"February 22, 2022",Writes great. 
ses0416,"February 8, 2022",Good pen. Prefer the needle point though. 
foxdenfarms7,"January 25, 2022","At least I can buy refills for this pen, although I haven’t used a refill yet.
 The pen is awesome. "
diane,"December 24, 2021",Great pens for the price
mike,"December 19, 2021","I was always a ball point pen person until this pen. Now I love all things
Signo."
sinziana.gafitanu,"December 9, 2021","It was a bit scratchy for me... maybe it's just not my style. I know a lot of
people rave about this one. "
care,"November 23, 2021",This pen writes so smooth
mzmacwiz434,"November 9, 2021",Everything arrived promptly and safely. Exactly as I ordered. Thank you.
catie24,"October 13, 2021","I’m a huge Sarasa Clip fan, so I held out on this out of a feeling of
loyalty—however, I finally gave in. This is a fantastic pen!"
nicolesheree123,"October 7, 2021","I saw someone online saying that this was their favorite pen, so I tried it, but
it really wasn't anything special. I love the brand, but I wouldn't buy this
particular one again."
Penguin,"September 26, 2021",My go-to pen. I want to try the 0.28 next 
joshuasilveira,"September 7, 2021","a favorite pen. i do a lot of drawing and writing. they work beautifully for
both. the .38 has a nice flow to them and pull a clean line. the ink consistency
is also great and well balanced"
mariaballon2114,"August 23, 2021",Glides really smoothly and I love how thin the stroke is.
dennisemorse,"August 16, 2021",Great pens--as advertised. Fast shipping.
germanissac,"August 16, 2021","Great pen, glides pretty well on the page. Has a bit of a scratch if you tend to
hold your pen more flat compared to page. It does not bleed much. The ink does
however tend to smudge a little particularly where you start or end a stroke, or
where you pause for a bit."
sschroll,"August 13, 2021",Love them !!!
studypeonies,"August 9, 2021","My favourite pen ever. Ever. It is o smooth! The ink is so pigmented, it
doesn’t smear, and i’m a lefty. You don’t know how many refills i bought
if this! There are not enough words to say how much I love this pen."
sturdivantkatrina,"August 3, 2021",Writes smoothly 
kathia_1995,"July 29, 2021",Super thin and awesome feel! 
Lirio,"July 29, 2021",good pen!
cpc_2001,"July 28, 2021","This writes very nice lines and smoothly. Much better than a ballpoint pen from
start to finish"
eric.lim829,"July 27, 2021","My favorite pens to use when writing. Bonus: the pen is balanced well so pen
twirling is possible."
outsidetheboxprimitives,"July 23, 2021",love this pen ! pricey but nice 
daniela1330,"July 23, 2021","I’ve always hated writing with gel pens, but saw this was gel pen #1 here on
Jet Pens so I thought it might change my mind. YUP. "
rcozad,"July 19, 2021","I love using these for note-taking during class. They write smoothly and feel
comfortable in my hand for long periods."
imadevilinabluedress,"July 11, 2021","Pen writes smoothly,  no bleeding and has a nice thin line.  Can't go wrong with
Uni."
jeffdenice,"July 8, 2021","these are my new favorite fine point pens!  love them! love JET pens too... for
pen geeks like me its awesome to be able to order JUST what I want, and not to
give my money to another store.  :)"
nic0le_fernandez,"June 17, 2021",Great fine line pen 
janeacheek,"June 3, 2021",Always a great pen to doodle with!
aegeanc824,"June 2, 2021","writes nicely, though a little fine"
javimunoz997,"May 3, 2021","A classic, love this pen. Great for detailed/ tiny writing."
DH21,"April 19, 2021","I love this pen! It's one of my favorites, and I've bought it many times and
will continue to. "
Mimi,"April 19, 2021",Awesome pen for Hobonichi planners!
tracitrotter68,"March 24, 2021","grand daughter uses it for 'inking/outlining"" her sketches. She was happy with
it"
lorispuppiesdecember,"February 5, 2021","Bleeds through highlighter/marker even if left to dry. Sometimes skips. However,
it is a good pen and I like how thin it writes. "
janite4,"February 1, 2021",Everything works fine
gdlreeves,"January 27, 2021",Like them very much. Nice thin line. Waterproof ink. I use it for drawing
mbolling22,"January 27, 2021","This was my first experience with the great smear-resistant ink and wonderful
0.38 tip of these pens. My standard pen is now the retractable type using
UMR-83, so the UM-151 stick pen style is my backup for grocery lists and notes
to myself. Thanks, JetPens! You're a lifesaver--the store where I originally
bought these pens no longer exists . . . "
emilypmit,"January 22, 2021","Soooo smooth, I love writing with this pen"
nathanielplohmann,"January 18, 2021","A great pen, I’m having a bit of trouble with it catching, but it might just
be the quality of the paper I’m using."
daniel,"January 16, 2021",Nice and smooth.
renzoa1212,"January 11, 2021",Just a great pen
cohenemilyb,"January 1, 2021","Stopped working after a day of use :( Still full of ink, but won’t write any
more "
lisa.hayden09,"December 15, 2020",Smoothest pen I've ever used with a great gel formula.
moncat,"December 7, 2020",love this pen!
schultz.daryan.l,"November 25, 2020",solid pen
Rebecca,"November 5, 2020","I love this pen, but it is NOT waterproof. It smears like no other with my
mildliners. Ughhhhh "
solarsistergirl,"November 2, 2020",Great!
trebomit,"October 26, 2020",Very nice pen - it’s my #2 favorite! 
Clifton R,"October 23, 2020","The Uniball Signo DX 0.38 (aka Signo UM-151) turned out to be one of my favorite
pens out of about 12 different models of gel and rollerball pen I tried out in
this order, and I find myself using one or another of these the most so far of
this batch of new pens, or perhaps second after the Platinum Preppy fountain
pen.Black is always my favorite for general writing, although the Blue-black from
the blue-black pen sampler and the Bordeaux Black are very nice too. I'm using
it more for writing than drawing, but it would be a very nice pen for fine line
drawing too."
kelvinbuffkin,"October 20, 2020","My favorite pen. Writes like a dream especially since I have arthritis in my
hands. "
Victoria,"October 7, 2020","Best pen ever, I have been a bit obsessed for the past 5 years."
JTail,"September 29, 2020","Great little gel pen. I can definitely see what the hype is all about. Love
writing with this pen. My handwriting looks neat and tidy and the ink comes out
very smooth. "
lyu.galler,"September 11, 2020",My favorite gel pen.
paykachru,"September 11, 2020","inkier than a muji pen, which I really like!"
allison.xie.1217,"September 9, 2020",very nice and pointy
sahhoang,"September 7, 2020",This pen writes smoothly and crisply. No complaints. 
lvulpal,"August 31, 2020","I love this pen so much!! So fine and the ink doesn’t break or stop in
between! "
mifferman,"August 25, 2020",great pen! I use it for sketching. Works great.
hobiboh,"August 24, 2020","I like this pen, but it smears so much when I try to use highlighters even
though it says its waterproof, fade and feather resistant. "
awsome_sauce,"August 19, 2020",Worth the search! This pen is so fun and easy to write with
Alex,"July 31, 2020","Amazing pen! Smooth, rich, comftorable and affordable, sometimes I have to
remind myself that this is a 0.38mm pen! Hightly recommend, they don't flash dry
or have smudge free highlighting instantaneously, but they're still suprisingly
smooth and just nice to write with. Can't wait to try the 0.28mm for even finer
writing. "
lhigham,"July 23, 2020",love this penit writes smoothly perfect for diddles on watercolours paintings
dowsettj,"July 18, 2020",Love the way this pen writes! Bought more! Highly recommend 
mssiddiqui256,"July 6, 2020","I love this pen! The ink flows so smoothly from the tip, and its fine enough
that I can write easily without having to worry about focusing on writing
smaller or smudging!"
harrisonkampfe,"June 24, 2020","One of the best gel-pens I have used. The DX delivers such smooth, crisp lines.
Strongly recommend it!"
jcbrowncpc,"June 23, 2020",Can’t believe I didn’t like this one. Surely it’s because of the size.
tim95,"June 19, 2020",My favorite pen by far.
hheinssen,"June 12, 2020",A nice and comfortable pen to complete my crosswords with. My go-to choice.
adrya00,"June 6, 2020","Awesome pen. Writes sooth and drys quickly. It is a good size for writing
intricate language characters. Love it!"
hkchoe,"May 28, 2020","Good pen! Skips a little, but not very frequently. It generally writes smoothly,
and the ink is nice and dark."
absolutelybk,"May 28, 2020",Love this pen!
Arheinhard,"May 15, 2020","Stayed away from gel pens but a recent suggestion from a bank to use the pen
when writing checks had me ordering from you. After trying the pen I actually
like writing with the gel pen more than just for safety."
nrxr,"May 12, 2020",Perfect for writing in different styles. No bleeding.
Cici10346,"May 8, 2020","I have tried a lot of 0.38 pens and this is by far the best. It is quick drying
and doesn't smear at all. I used to love Muji pens but after this pen, this is
now my favorite. Will definitely be purchasing again.  "
emperhmb,"April 15, 2020","2nd favorite gel pen only to the G2. Not quite as smooth in laying down ink but
built better in my opinion. "
ibebedear,"April 13, 2020",I use this for the outlines on my watercolors.
littlehornedbeast,"April 10, 2020","beautiful fucking pen, definitely recommend this"
dannylyons6,"April 9, 2020",Good...when it works
paceves,"April 9, 2020","Love this pen, its an easy go-to"
tours,"April 6, 2020",Love them. Nice fine point.
jerryr,"March 20, 2020",Very nice grip and a smooth writer. Especially considering its .38 tip.
justin.sok,"March 18, 2020",This pen offers one of the cleanest writing experiences for any pen.
letasmith,"March 11, 2020",pleasure to use
kd8sym,"March 9, 2020","A very good gel pen. I have no complaint except it would be nice if it wrote a
little tiny bit smoother but the lines are always consistent and bold and the
pen feels comfortable in the hand while not tiring your fingers out. "
efkipp,"March 5, 2020","A good, easy writing pen, I see why it's number one!"
patabel,"February 28, 2020","Purchased on a recommendation from a crafty friend.  She was on target, this pen
issuper."
kirstenphang,"February 25, 2020","Started not being consistent after only a day of use, but I really loved it "
mkobilnyk,"February 18, 2020","pen writes very light and applying further pressure  to make it darker tore the
paper.  Will not buy this product in the future."
victorvuong83,"February 17, 2020","For those that like sharper writing instruments, this pen is very simple,
inexpensive, and writes consistently"
denitachanette,"February 11, 2020",this is my favorite all time pen.  
sqrtofpi,"February 10, 2020","Fantastic pen, doesn't bleed through even on regular schoolwork. Perfect line
width for sciences, math, and anything else that requires a lot of writing but
also a lot of small numbers and notes. Couldn't be better."
maxamiller2016,"February 8, 2020","Wonderful pen. I have this in both black and blue and I interchange them daily
with my fountain pens for writing. Best ballpoint you can buy right now."
monizdee,"February 3, 2020",Great pen
h2o.cele,"January 24, 2020","I wanted to like this pen based on reviews, but it was entirely too scratchy on
both legalpad and sketch paper. Maybe a broader tip would suit me better...."
scravey,"January 23, 2020",Really like everything. Will be ordering again
elCajon,"January 23, 2020","This is the semi-official choice of JetPens for a reason. It is a uniquely
satisfying writing instrument. The dark color of the ink along with its smooth
and precise feel are not matched by many more expensive pens. I will say the
0.38 mm size is very fine and can be a touch scratchy on some surfaces. However,
the ability to write finely makes changes my handwriting a little. As I said,
this thing is quite unique and I am impressed. I am currently trying out some
other widths to see if there one that I prefer over the 0.38."
BodaciousCaiman,"January 23, 2020",This is one of my favorite pens for note taking.
brendan,"January 12, 2020","If I ever heard this pen was being discontinued, i'd buy enough to last me the
rest of my life because now that I've experienced it I wouldn't want to be
without it. "
todd.holscher,"January 11, 2020","outstanding if you want an incredibly thin line.  my son uses these in school
tests where the teacher let's you bring ""one index card full of notes"".  Amazing
how small he can write and keep it legible."
missCoco,"January 9, 2020","Got these for my BF's birthday - the cheapest ""best gift"" I've ever found. He was using ball point pens, with a major scratch factor and issues with ink
consistency (ok, I bought him new pens because I hated when he loaned me his . .
. ) and yesterday he took all his old pens into the break room at work for other
people to pick up! I also bought him a few of the other dark colors, which he likes because he can
take color-coded notes without the red and blue overwhelming the look of the
page. "
judy.sotosky,"January 2, 2020","Crisp, fine line pen. Resistant to any tampering with the ink."
andresangelc00,"December 23, 2019",Super smooth 
sandlotstudio,"December 23, 2019",A great pen for mixed media art journaling.
mikestjohnatx,"December 12, 2019","Writes well, smooth.Tip is a little thin for me. "
tina.johnsonwilks,"December 10, 2019",A smooth writing pen
linda.a.bravata,"December 6, 2019",My favorite pen. Used to be 03 now it's 0.38?  Still my fav.
mac.mcclelland,"November 28, 2019","you have to prefer pens of 0.5 or less to fully appreciate this wonderful
writing instrument."
zamboni_22,"November 17, 2019","I only gave it 4 stars due to the ink flow. It flowed very well but sometimes
would skip ish. Once, I dropped the pen and now it doesn't work anymore. This is
a very good pen but make sure you aren't clumsy like I was."
lucas.lozier,"November 6, 2019",its ok. worth the price i guess............
florivy,"October 28, 2019","My favorite thin pen to write with. Writes super smooth and does not skip. The
ink is also a good dark black. "
hannahmul.2579,"October 8, 2019",MY FAVORITE PEN
myphan1979,"September 14, 2019",the pen writes very well and very suitable for bujo & note taking
aluong888,"September 9, 2019","Good pen, great for thin lettering"
wickline.kmori,"September 9, 2019",Perfect for my calendar.
gabbyz,"September 2, 2019","best pen i've ever had I really see the hype its amazing. so smooth and doesn't
skip at all"
stationeryaddict,"August 15, 2019",Smooth ink!
corie,"August 5, 2019","These pens are wonderful, but this one was faulty and never wrote. "
Tim B,"August 1, 2019","An all time classic. Just go ahead and buy it by the bulk box sold here. You're
going to love it."
chimspaw,"July 26, 2019","Absolutely awesome to write with! Surprisingly black 0.38 writes more smoother
than the Grey and Khaki colours I also purchased. But I can't wait to use this
pen more!"
tomincroix,"June 7, 2019","I got one of these to try.  I have some Pilot G-2's in 0.38 so I'm familiar with
that size point.  The point on this one is scratchy, almost like a calligraphy
nib.  And the ink doesn't seem to flow very evenly - almost acts like the pen
has been dropped on the point.  I like these ultra fine pens & will try another
brand next time."
tmsantis,"June 1, 2019","I’m assuming I got a dud but this pen is so scratchy and skips like crazy, I
can’t even use it."
alyxity,"June 1, 2019","great pen, ink flows nice. no issues and very reliable"
rtdurr,"May 31, 2019","I was most excited about getting this pen and it is very nice. I'm using a Pilot
G-2 .38 mm on my bullet journal and I am happy with it. I am thinking about
whether I like this pen better. There is no doubt that this pen makes some
really nice vivid high contrast marks on both my cheap notebook paper and my
Rhodia dot pad. But there are two things that keep it from being 5 stars. It
feels small in my hands compared to the G2. And it has a cap. I kind of like
clicking the pen. I'm sure I will use this pen going forward but as good as it
is for me it was not a perfect 5 star."
DelCampobrown,"May 25, 2019","The Signo UM-151 (aka Signo DX) has been a long time favorite ""go to"" pen for
all the artists in our family.  Great fine points for drawing and writing.  The
fact that they are refillable is also a plus. "
chardherring,"May 17, 2019","A crossword puzzlers dream, smooth dark but not too much and fine enough for the
little squares!"
yemaya.hubert,"May 12, 2019","I adore this pen! It has worked so well for my uses. I mainly use it for note
taking and journaling and the tip is the most perfect size, I love how thin it
is.This website is a god send and all the reviews have been really spot on and
helpfup."
Joy91,"May 10, 2019","I love this pen. Doesn't scratch when writing and it doesn't smear when I use
highlighter. Will buy more!"
williamdleader,"May 6, 2019",These are great pens. Write well. Impressive colors. 
karaleila1323,"April 26, 2019","Love, love, love it! I don't know how I've gone all my life without ever using
this pen. I'm really glad I purchased it. It looks amazing on paper and it just
gives me a really good writing experience all day, everyday!"
valeria,"April 3, 2019",My everyday go to pen. Love it.
rosalynneortega,"March 27, 2019","Love this pen so much! Super smooth and very fine tip. Will probably be buying
ink refills soon."
stinkyFur,"March 23, 2019","Perfect for tiny areas. Who DOESN'T love a Uni-ball Signo? And the 0.38 does not
disappoint. Not scratchy, either. "
Simplydecember ,"March 5, 2019",My favorite pen. I love the way this pen write. 
renteria.isa,"February 26, 2019","The ink flow of the pen was inconsistent and also VERY scratchy. Was
disappointed. "
drm510,"January 18, 2019","My handwriting instantly became neater when I started using your pens.
Seriously!"
ruiling81,"December 31, 2018","Oh my lands I never want to use another ball point writing pen! Wish I had
ordered a few more when I was paying shipping!"
rachelmikulinsky,"December 31, 2018",I absolutely love rhis pen. It is my go to pen for all my notes 
jefl2109,"December 16, 2018","Dropped pen on the floor and it immediately stopped working. Barely used but it
was good while it lasted. Be sure to keep the cap on at all times..."
orora619,"December 10, 2018","I had been looking for a pen that I could use for journaling and this pen was
perfect. The pen writes so smoothly so you don't have to put much pressure. The
ink is very dark unlike other pens that seem to fade. "
Simone,"December 5, 2018","I bought this pen in both 0.38 and 0.5 and I like them both a lot! They write
nicely but I like to use them for loose pen sketches in my sketchbooks. The 0.38
size is a little bit scratchy, but it's nothing that bothers me personally."
saul.gomez356,"December 4, 2018",Definitely will be buying again
Malu,"November 29, 2018",Nice smooth writing even though it does smear
toni.zapanta,"November 25, 2018",My new favorite pen. 
kalhholder,"November 22, 2018","I use this pen for my sketchbook, where I take a lot of my diagrammed notes. It
works wonderfully, writing smoothly and darkly, and has little to no smearing
when I layer water color over it!"
nemu,"November 1, 2018",This pen is really amazing!!!! 
deven.noel,"October 17, 2018",By far my favorite pen! Wish it came ina cuter barrel but writes so amazing 
alfredo.barraza,"October 16, 2018","Great feel, nice and thin."
Tangle List,"September 9, 2018","This review is for those who can't decide between the 0.5 and 0.38 versions of
the Uni-ball Signo UM-151 Gel Pen. The 0.5 simply glides better across my
journal. That's perfect for fast, free-flowing writing, but my penmanship
suffers as a result. The 0.38 version, in my opinion, has a better balance
between smooth writing and producing neat penmanship. I prefer the 0.38 for
journaling because it's looks nicer while rereading old journal entries. The
smaller writing also saves a considerable amount of journal space.   The bottom line, though, is that they're both excellent, 5-star pens and worth
every penny. Buy one of each and see what meets your personal needs better. "
penalizette15,"August 23, 2018","By far one of the best pens I've ever used! Super fast drying quality. 100%
would buy again!!"
BenjaminC2001,"August 1, 2018",Sharp tip
arnahlin22,"July 26, 2018","Love this pen, the lines are so fine and clear. Had very high expectations for
this pen and it lived up to them!"
Paulina,"July 19, 2018",Too fine and scratchy .
natnat,"July 5, 2018","The Uni-ball Signo DX might just be my favorite Gel Pen in the entire universe,
so this black signo was a 10/10. It's definitely my most used gel pen, and I'll
need a refill soon."
masher023,"July 3, 2018","Nothing about this experience was good. I'm a fan of the signo brand and i own
multiple types of signo pens, this one is the worst pen I've ever owned, the
grip is too far back which makes writing unpleasant, the tip needs to straight
vertical to actually produce ink. would not recommend to anyone."
laeilascott123,"July 2, 2018",the grip is pretty far up but the ink quality is amazing 
Izzy,"June 28, 2018","One of my favorite universal pens. It's good for drawing and writings. I use it
very often."
electricpenguin,"June 13, 2018",Fine and good.
